"AS_OF_DATE","WEEK","STYC","STRE","LCP_REC_U","LCP_REG_SLS_U","LCP_PROMO_SLS_U","LCP_MKD_SLS_U","CREATED_DATE","CREATED_BY","UPDATED_DATE","UPDATED_BY"
18-SEP-16,"w05_2017","lw7amjs-028896","15302","72.0655606086","0.0000000000","0.0000000000","0.0000000000",18-SEP-16 11.31.26.000000000 AM,"LLL_INFA_ETL",,""
18-SEP-16,"w26_2016","lw7ajbr-0001","170","80.2138573178","0.0000000000","0.0000000000","0.0000000000",18-SEP-16 11.31.26.000000000 AM,"LLL_INFA_ETL",,""
18-SEP-16,"w30_2016","lw7ajbr-0001","170","84.9323195130","18.6251458403","0.0000000000","0.0000000000",18-SEP-16 11.31.26.000000000 AM,"LLL_INFA_ETL",,""
18-SEP-16,"w47_2016","lw5am9s-0001","11952","70.9449660501","29.3619115156","0.0000000000","0.0000000000",18-SEP-16 11.31.26.000000000 AM,"LLL_INFA_ETL",,""
18-SEP-16,"w42_2016","lw5amos-0001","11952","94.1359587815","6.5363008177","0.0000000000","0.0000000000",18-SEP-16 11.31.26.000000000 AM,"LLL_INFA_ETL",,""
18-SEP-16,"w12_2017","lw7ak0s-0001","11320","74.1385711348","5.9799705133","0.0000000000","0.0000000000",18-SEP-16 11.31.26.000000000 AM,"LLL_INFA_ETL",,""
18-SEP-16,"w20_2017","lw7ak0s-0001","11320","79.1366770540","16.0517299463","0.0000000000","0.0000000000",18-SEP-16 11.31.26.000000000 AM,"LLL_INFA_ETL",,""
18-SEP-16,"w51_2016","lw5ljfs-026083","19020","89.7528370346","0.0000000000","0.0000000000","0.0000000000",18-SEP-16 11.31.26.000000000 AM,"LLL_INFA_ETL",,""
18-SEP-16,"w25_2016","lw5atis-0001","11320","92.9725772977","0.0000000000","0.0000000000","0.0000000000",18-SEP-16 11.31.26.000000000 AM,"LLL_INFA_ETL",,""
18-SEP-16,"w12_2017","lw7aa6s-033190","15302","73.8397550311","0.0000000000","0.0000000000","0.0000000000",18-SEP-16 11.31.26.000000000 AM,"LLL_INFA_ETL",,""
18-SEP-16,"w16_2017","lw7ak0s-0001","170","73.2308112700","6.9880569767","0.0000000000","0.0000000000",18-SEP-16 11.31.26.000000000 AM,"LLL_INFA_ETL",,""
18-SEP-16,"w38_2016","lw5alws-0001","19020","98.8160443376","3.4121274946","0.0000000000","0.0000000000",18-SEP-16 11.31.26.000000000 AM,"LLL_INFA_ETL",,""
18-SEP-16,"w42_2016","lw5alws-0001","19020","74.1120332532","7.1634169897","0.0000000000","0.0000000000",18-SEP-16 11.31.26.000000000 AM,"LLL_INFA_ETL",,""
18-SEP-16,"w51_2016","lw5alws-0001","19020","96.2223830234","5.6014673109","0.0000000000","0.0000000000",18-SEP-16 11.31.26.000000000 AM,"LLL_INFA_ETL",,""
18-SEP-16,"w08_2017","lw5alws-0001","19020","73.5818223120","11.0905975664","0.0000000000","0.0000000000",18-SEP-16 11.31.26.000000000 AM,"LLL_INFA_ETL",,""
18-SEP-16,"w29_2016","lw5am9s-0001","19020","86.4946001330","7.1575009039","0.0000000000","0.0000000000",18-SEP-16 11.31.26.000000000 AM,"LLL_INFA_ETL",,""
18-SEP-16,"w34_2016","lw5am9s-0001","19020","82.1698701263","14.3091210097","0.0000000000","0.0000000000",18-SEP-16 11.31.26.000000000 AM,"LLL_INFA_ETL",,""
18-SEP-16,"w20_2017","lw7ansr-033144","11602","84.8766221337","0.0000000000","0.0000000000","0.0000000000",18-SEP-16 11.31.26.000000000 AM,"LLL_INFA_ETL",,""
18-SEP-16,"w07_2017","lw5ljfs-0001","11651","83.5942764558","27.8646925484","0.0000000000","0.0000000000",18-SEP-16 11.31.26.000000000 AM,"LLL_INFA_ETL",,""
18-SEP-16,"w12_2017","lw5ljfs-0001","11651","86.6625230180","23.8067402765","0.0000000000","0.0000000000",18-SEP-16 11.31.26.000000000 AM,"LLL_INFA_ETL",,""
